Superficie (m2),Nombre Pieces,Nombre Chambres,Prix (Euros),Code Postal,Classe Energetique,Nombre Photos,Etage,Type de Bien,Type Vendeur,Terrasse,Parking,Cave,Ascenseur,Gardien,Renove,Box
92,3,1,2215000,75016,0,8,3,1,1,1,1,1,-1,-1,-1,-1
180,5,2,2250000,75008,0,8,3,1,1,-1,-1,1,1,1,-1,-1
183,5,3,2250000,75016,4,10,4,1,1,-1,-1,1,1,1,-1,-1
176,5,3,2280000,75015,4,10,-1,1,1,1,1,1,1,-1,-1,-1
164,7,6,2285000,75017,0,10,-1,1,1,-1,-1,1,1,1,-1,-1
169,6,4,2295000,75016,4,3,5,1,1,-1,-1,1,1,1,-1,-1
150,5,3,2345000,75015,0,10,8,1,1,-1,-1,-1,1,-1,-1,-1
210,6,3,2350000,75116,3,10,1,1,1,1,-1,-1,-1,-1,-1,-1
190,6,4,2450000,75008,0,10,3,1,1,-1,-1,1,1,-1,-1,-1
182,6,4,2472000,75009,3,10,1,1,1,1,1,1,1,1,-1,-1
152,5,4,2490000,75002,4,10,3,1,1,1,-1,1,-1,-1,1,-1
130,5,3,2500000,75001,3,7,5,1,1,-1,-1,1,1,-1,-1,-1
178,7,5,2500000,75016,4,2,7,1,1,-1,-1,-1,-1,-1,1,-1
264,7,3,2500000,75015,5,10,-1,1,1,-1,-1,1,-1,-1,-1,-1
132,5,3,2550000,75007,5,10,4,1,1,-1,-1,-1,1,1,1,-1
145,6,5,2550000,75004,5,10,-1,1,1,-1,-1,-1,1,-1,-1,-1
217,5,3,2575000,75116,3,6,1,1,1,-1,-1,1,1,-1,-1,-1
137,4,2,2575000,75008,0,8,-1,1,1,-1,-1,1,-1,1,-1,-1
202,7,3,2590000,75008,4,10,2,1,1,-1,-1,1,-1,-1,-1,-1
125,4,3,2600000,75007,0,9,4,1,1,-1,-1,1,1,-1,-1,-1
133,5,2,2630000,75016,0,7,5,1,1,-1,-1,-1,-1,1,-1,-1
219,7,6,2730000,75016,4,10,2,1,1,-1,-1,1,1,1,1,-1
145,4,2,2850000,75016,4,10,2,1,1,-1,-1,-1,1,1,-1,-1
148,5,3,2980000,75008,0,7,1,1,1,-1,-1,1,-1,-1,-1,-1
132,5,2,3140000,75007,5,10,5,1,1,-1,-1,1,1,1,-1,-1
90,3,1,3150000,75007,0,6,-1,1,1,-1,-1,1,1,1,-1,-1
180,5,3,3200000,75008,0,10,1,1,1,-1,-1,1,1,1,-1,-1
135,4,2,3250000,75007,0,9,4,1,1,-1,-1,1,1,1,1,-1
134,6,4,3325000,75007,4,10,6,1,1,1,-1,1,1,-1,-1,-1
133,6,4,3325000,75007,0,6,5,1,1,1,-1,-1,-1,-1,-1,-1
205,7,4,3350000,75007,4,10,4,1,1,-1,1,-1,1,-1,-1,-1
141,5,3,3360000,75007,6,5,4,1,1,1,-1,1,1,-1,-1,-1
123,5,3,3500000,75017,0,10,6,1,1,-1,-1,1,1,1,-1,-1
251,7,5,3500000,75016,4,10,-1,1,1,-1,-1,1,1,1,-1,-1
203,6,5,3710000,75008,0,10,4,1,1,1,-1,-1,-1,1,-1,-1
215,5,2,3750000,75008,3,10,2,1,1,1,-1,-1,1,-1,-1,-1
180,4,3,3885000,75008,2,1,3,1,1,-1,-1,1,1,1,-1,-1
311,7,3,4950000,75116,6,9,5,1,1,-1,-1,-1,1,1,-1,-1
226,5,2,5400000,75009,5,10,2,1,1,-1,-1,-1,-1,-1,-1,-1
393,8,3,9000000,75116,0,10,5,1,1,-1,-1,-1,1,-1,-1,-1
254,6,3,9225000,75008,2,10,7,1,1,-1,-1,-1,1,-1,-1,-1
8,1,0,40000,75011,6,5,6,1,1,-1,-1,-1,1,-1,-1,-1
5,1,0,45000,75009,0,6,6,1,1,-1,-1,-1,-1,-1,-1,-1
6,1,0,63000,75011,0,3,7,1,1,-1,-1,-1,-1,-1,-1,-1
6,1,0,78000,75005,6,3,7,1,1,-1,-1,-1,-1,-1,-1,-1
6,1,0,78000,75005,6,3,7,1,1,-1,-1,-1,1,1,-1,-1
8,1,0,86000,75020,0,5,1,1,1,-1,-1,-1,1,1,-1,-1
9,1,0,93000,75009,0,7,7,1,1,-1,-1,-1,-1,1,-1,-1
9,1,0,94000,75019,0,10,-1,1,1,-1,-1,-1,1,-1,-1,-1
7,1,0,95000,75017,0,8,6,1,1,-1,-1,-1,-1,-1,-1,-1
7,1,0,95000,75017,0,3,6,1,1,-1,-1,-1,1,1,-1,-1
14,1,0,97000,75009,6,5,6,1,1,-1,-1,-1,-1,-1,-1,-1
7,1,0,105000,75116,0,7,6,1,1,-1,-1,-1,-1,-1,-1,-1
11,1,0,107000,75013,6,6,4,1,1,-1,-1,-1,-1,-1,-1,-1
11,1,0,110000,75015,6,4,1,1,1,-1,-1,-1,-1,-1,-1,-1
8,1,0,110000,75018,0,10,1,1,1,-1,-1,-1,-1,-1,-1,-1
9,1,0,115000,75008,0,6,6,1,1,-1,-1,-1,-1,1,-1,-1
12,1,0,117000,75020,6,8,-1,1,1,-1,-1,-1,-1,-1,-1,-1
10,1,0,117700,75011,7,5,3,1,1,-1,-1,-1,-1,-1,-1,-1
12,1,0,119000,75018,6,3,-1,1,1,-1,-1,-1,-1,1,-1,-1
7,1,0,120000,75002,7,4,6,1,1,-1,-1,-1,-1,-1,-1,-1
17,2,1,120000,75018,0,7,-1,1,1,-1,-1,-1,1,1,1,-1
9,1,0,122000,75016,0,3,2,1,1,-1,-1,-1,-1,-1,-1,-1
10,1,0,125000,75012,0,4,-1,1,1,-1,-1,-1,-1,-1,-1,-1
11,1,0,125000,75017,0,6,8,1,1,-1,-1,-1,-1,1,-1,-1
11,1,0,127000,75002,0,8,1,1,1,-1,-1,-1,-1,-1,-1,-1
12,1,0,130000,75009,0,10,6,1,1,-1,-1,-1,-1,-1,-1,-1
9,1,0,135000,75013,5,3,6,1,1,-1,-1,-1,-1,-1,-1,-1
10,1,0,138000,75016,0,5,2,1,1,-1,-1,-1,-1,-1,-1,-1
0,1,0,139000,75016,0,4,6,1,1,-1,-1,-1,-1,1,-1,-1
11,1,0,145000,75008,0,3,6,1,1,-1,-1,-1,-1,-1,-1,-1
10,1,0,150000,75003,0,1,6,1,1,-1,-1,-1,-1,-1,-1,-1
13,1,0,150000,75011,6,4,2,1,1,-1,-1,-1,-1,1,-1,-1
14,1,0,150000,75018,0,6,2,1,1,-1,-1,-1,1,-1,1,-1
17,1,0,150000,75020,4,5,-1,1,1,-1,-1,-1,1,-1,-1,-1
13,1,0,155000,75009,7,7,7,1,1,-1,-1,-1,-1,1,-1,-1
13,1,0,156000,75018,4,5,3,1,1,-1,-1,-1,-1,-1,-1,-1
13,1,0,160000,75116,0,10,6,1,1,-1,-1,-1,-1,-1,-1,-1
9,1,0,160000,75001,6,9,5,1,1,-1,-1,-1,-1,-1,-1,-1
15,1,0,170000,75012,0,3,7,1,1,-1,-1,1,-1,-1,-1,-1
15,1,0,175000,75015,7,7,-1,1,1,-1,-1,1,-1,-1,-1,-1
11,1,0,175000,75004,7,6,6,1,1,-1,-1,-1,-1,-1,-1,-1
14,1,0,177000,75010,0,6,5,1,1,-1,-1,-1,1,-1,-1,-1
15,1,0,178000,75020,6,6,2,1,1,-1,-1,-1,-1,-1,-1,-1
18,1,0,179000,75017,0,3,-1,1,1,-1,-1,-1,-1,-1,-1,-1
18,1,0,185000,75018,0,9,-1,1,1,-1,-1,-1,1,1,-1,-1
13,1,0,185000,75010,5,6,3,1,1,-1,-1,-1,-1,-1,-1,-1
14,1,0,185500,75015,5,7,2,1,1,-1,-1,-1,-1,-1,-1,-1
18,1,0,185500,75012,7,9,2,1,1,-1,-1,-1,-1,-1,-1,-1
16,1,0,187200,75011,6,8,4,1,1,-1,-1,-1,-1,-1,-1,-1
16,1,0,190000,75015,7,4,3,1,1,-1,-1,-1,1,-1,-1,-1
16,1,0,190000,75013,7,6,3,1,1,-1,-1,-1,-1,-1,-1,-1
16,1,0,194000,75010,6,5,3,1,1,-1,-1,-1,-1,-1,-1,-1
16,1,0,195000,75018,0,7,1,1,1,-1,-1,-1,-1,-1,-1,-1
27,2,1,195000,75018,7,2,-1,1,1,-1,-1,-1,-1,-1,-1,-1
21,1,0,196000,75018,0,8,2,1,1,-1,-1,-1,-1,-1,-1,-1
18,1,0,199000,75014,6,10,2,1,1,-1,-1,-1,-1,-1,-1,-1
13,1,0,199500,75011,6,4,1,1,1,1,-1,-1,1,-1,-1,-1
23,1,0,199500,75018,0,5,3,1,1,-1,-1,-1,-1,-1,-1,-1
21,1,0,203000,75017,7,1,-1,1,1,-1,-1,1,-1,-1,-1,-1
19,2,1,205000,75014,7,6,2,1,1,-1,-1,1,-1,-1,-1,-1
26,2,1,210000,75018,7,10,3,1,1,-1,-1,-1,-1,-1,-1,-1
22,1,0,210000,75012,7,4,7,1,1,-1,-1,-1,-1,-1,-1,-1
21,1,0,210000,75020,7,7,-1,1,1,-1,-1,-1,-1,-1,-1,-1
20,1,0,210000,75015,0,3,2,1,1,-1,-1,1,-1,-1,-1,-1
20,1,0,210000,75015,0,3,2,1,1,-1,-1,1,1,1,-1,-1
19,1,0,214000,75013,6,7,-1,1,1,-1,-1,-1,-1,-1,-1,-1
17,1,0,215000,75009,7,8,2,1,1,-1,-1,-1,-1,-1,-1,-1
13,1,0,220000,75018,5,10,1,1,1,-1,-1,-1,-1,-1,-1,-1
17,1,0,220000,75018,0,10,5,1,1,-1,-1,-1,-1,-1,-1,-1
38,1,0,223600,75016,0,6,2,1,1,-1,-1,1,-1,-1,-1,-1
23,2,1,227000,75018,7,6,5,1,1,-1,-1,1,-1,-1,-1,-1
20,1,0,229000,75019,4,4,-1,1,1,-1,-1,-1,-1,-1,-1,-1
18,1,0,230000,75016,5,8,7,1,1,-1,-1,1,-1,-1,-1,-1
18,1,0,232000,75015,0,6,3,1,1,-1,-1,-1,-1,-1,-1,-1
28,2,1,234000,75018,6,7,-1,1,1,-1,-1,-1,-1,-1,-1,-1
19,1,0,235000,75015,6,5,2,1,1,-1,-1,1,-1,-1,-1,-1
18,1,0,235000,75011,0,7,3,1,1,-1,-1,1,-1,-1,-1,-1
18,1,0,235000,75011,0,10,4,1,1,1,-1,1,1,1,-1,-1
19,1,0,238000,75015,6,9,6,1,1,-1,-1,-1,-1,-1,-1,-1
21,1,0,239000,75018,6,8,-1,1,1,-1,-1,1,-1,-1,-1,-1
21,1,0,240000,75020,5,5,2,1,1,-1,-1,-1,-1,-1,-1,-1
26,2,1,240000,75013,6,7,4,1,1,-1,-1,-1,-1,-1,-1,-1
29,2,1,240000,75018,6,10,2,1,1,-1,-1,1,-1,1,1,-1
32,1,0,240000,75018,5,8,3,1,1,-1,-1,-1,1,-1,-1,-1
24,1,0,242500,75014,0,7,5,1,1,-1,-1,-1,-1,-1,-1,-1
26,1,0,244000,75019,6,7,2,1,1,-1,-1,-1,-1,-1,-1,-1
21,1,0,248000,75015,6,7,2,1,1,-1,-1,1,1,-1,-1,-1
22,1,0,248400,75015,6,2,-1,1,1,-1,-1,-1,1,1,-1,-1
23,1,0,249000,75010,6,6,-1,1,1,1,1,1,1,1,-1,-1
18,1,0,249000,75017,6,10,6,1,1,-1,-1,1,-1,-1,-1,-1
25,1,0,250000,75012,0,8,-1,1,1,-1,-1,-1,-1,-1,-1,-1
18,1,0,250000,75005,5,4,2,1,1,-1,-1,-1,-1,-1,-1,-1
27,1,0,250000,75019,6,3,-1,1,1,-1,-1,-1,-1,-1,-1,-1
21,1,0,250000,75020,0,10,8,1,1,-1,-1,1,1,-1,-1,-1
15,1,0,250000,75013,5,5,6,1,1,-1,-1,1,-1,-1,-1,-1
24,2,1,253800,75011,5,4,4,1,1,-1,-1,-1,-1,-1,-1,-1
30,2,1,255000,75019,6,6,3,1,1,1,-1,-1,-1,-1,-1,-1
25,1,0,255000,75020,4,10,1,1,1,-1,-1,-1,-1,-1,-1,-1
26,2,1,255000,75015,0,6,6,1,1,1,-1,-1,-1,-1,-1,-1
25,2,0,256000,75013,6,4,1,1,1,-1,-1,1,1,-1,-1,-1
30,2,1,258000,75020,7,5,-1,1,1,-1,-1,1,-1,-1,-1,-1
21,1,0,259000,75015,5,9,3,1,1,-1,-1,-1,-1,-1,-1,-1
26,1,0,259000,75017,4,4,1,1,1,1,-1,1,1,1,-1,-1
15,1,0,260000,75016,0,6,2,1,1,-1,-1,1,-1,-1,-1,-1
17,1,0,260000,75017,7,5,5,1,1,-1,-1,-1,-1,-1,-1,-1
27,1,0,260000,75020,5,3,3,1,1,-1,-1,-1,1,-1,-1,-1
24,1,0,260000,75014,0,8,3,1,1,-1,-1,-1,-1,1,-1,-1
15,1,0,260000,75016,0,6,2,1,1,-1,-1,-1,-1,-1,-1,-1
30,1,0,260000,75020,6,7,1,1,1,-1,-1,-1,-1,-1,-1,-1
